complaintcategory,status,complaintnumber,inspectiondate,bbl
05,ACTIVE,1458681,,1018060007
30,CLOSED,1458573,2017-08-23,1016770044
1L,ACTIVE,1458776,,1016770044
94,ACTIVE,1458836,,1016820051
86,CLOSED,1458738,2017-08-25,1017080008
83,ACTIVE,1459110,,1017080008
09,CLOSED,1454070,2017-08-28,1016610018
59,ACTIVE,1459157,,1016280020
59,CLOSED,1459157,2017-08-30,1016280020
83,CLOSED,1453769,2017-08-30,1016280020
5H,ACTIVE,1459285,,1016300065
05,ACTIVE,1453783,2017-08-30,1016280020
09,CLOSED,1455534,2017-08-31,1016280020
5H,ACTIVE,1459285,2017-08-31,1016300065
05,CLOSED,1453783,2017-09-01,1016280020
04,ACTIVE,1458261,2017-09-02,1016610017
86,ACTIVE,1459514,,1017080008
59,ACTIVE,1459766,,1016300069
59,ACTIVE,1459768,,1016300067
5H,CLOSED,1459760,2017-09-06,1016300069
5H,ACTIVE,1459718,,1016300069
5H,CLOSED,1459719,2017-09-06,1016300069
5H,CLOSED,1459759,2017-09-06,1016300069
5H,CLOSED,1459720,2017-09-06,1016300067
1Z,ACTIVE,1459767,,1016300069
1W,ACTIVE,1459689,,1016300069
86,ACTIVE,1459514,2017-09-06,1017080008
83,ACTIVE,1459681,,1016650038
1W,ACTIVE,1459692,,1016300067
1Z,ACTIVE,1459769,,1016300067
86,CLOSED,1459514,2017-09-07,1017080008
59,CLOSED,1459768,2017-09-06,1016300067
59,CLOSED,1459766,2017-09-06,1016300069
1W,CLOSED,1459692,2017-09-06,1016300067
1W,CLOSED,1459689,2017-09-06,1016300069
94,ACTIVE,1458836,2017-09-06,1016820051
5H,CLOSED,1459718,2017-09-08,1016300069
94,CLOSED,1458836,2017-09-08,1016820051
1L,ACTIVE,1458776,2017-09-09,1016770044
04,CLOSED,1458261,2017-09-09,1016610017
1X,ACTIVE,1460208,,1016300067
05,ACTIVE,1455367,2017-09-11,1017090024
83,ACTIVE,1460178,,1016670016
05,ACTIVE,1460179,,1016670016
09,ACTIVE,1460117,,1016670016
1X,ACTIVE,1460209,,1016300069
5H,CLOSED,1459285,2017-09-11,1016300065
05,CLOSED,1457098,2017-09-08,1017080007
1X,CLOSED,1460208,2017-09-12,1016300067
1X,CLOSED,1460209,2017-09-12,1016300069
05,ACTIVE,1454389,2017-09-12,1016660028
1L,CLOSED,1458776,2017-09-15,1016770044
04,ACTIVE,1460698,,1016670018
09,ACTIVE,1460753,,1016280020
4A,ACTIVE,1460759,,1016280020
04,ACTIVE,1460698,2017-09-17,1016670018
1Z,CLOSED,1456841,2017-09-19,1017080008
09,ACTIVE,1461083,,1018060007
83,CLOSED,1459110,2017-09-19,1017080008
4A,CLOSED,1460759,2017-09-20,1016280020
09,ACTIVE,1461285,,1016280050
04,CLOSED,1460698,2017-09-23,1016670018
05,CLOSED,1454389,2017-09-20,1016660028
05,CLOSED,1455367,2017-09-22,1017090024
86,CLOSED,1461586,2017-09-27,1016280020
05,ACTIVE,1461585,,1016280020
83,CLOSED,1455697,2017-09-26,1016670016
30,ACTIVE,1461686,2017-09-28,1016300061
2A,CLOSED,1458586,2017-09-29,1016670016
83,CLOSED,1460178,2017-09-29,1016670016
05,CLOSED,1458645,2017-09-29,1016670016
05,CLOSED,1460179,2017-09-29,1016670016
59,ACTIVE,1461831,,1016440059
59,CLOSED,1461795,2017-09-29,1016670016
66,ACTIVE,1461765,,1016670016
30,CLOSED,1461686,2017-09-29,1016300061
66,CLOSED,1461765,2017-09-29,1016670016
59,CLOSED,1461831,2017-09-29,1016440059
1Z,ACTIVE,1462240,,1018060007
1Z,ACTIVE,1462243,,1016660028
1W,ACTIVE,1462224,,1018060007
59,ACTIVE,1462239,,1018060007
83,ACTIVE,1462183,,1016440059
5H,CLOSED,1462162,2017-10-04,1016660028
59,ACTIVE,1462212,,1016660028
1W,ACTIVE,1462185,,1016660028
5H,CLOSED,1462207,2017-10-04,1018060007
05,CLOSED,1457807,2017-10-03,1016660028
1W,CLOSED,1462224,2017-10-04,1018060007
59,CLOSED,1462239,2017-10-04,1018060007
86,ACTIVE,1462328,,1016670016
1W,CLOSED,1462185,2017-10-04,1016660028
59,CLOSED,1462212,2017-10-04,1016660028
86,ACTIVE,1462328,2017-10-06,1016670016
05,ACTIVE,1462440,,1016280050
5H,ACTIVE,1462574,,1017090024
5H,CLOSED,1462207,2017-10-10,1018060007
83,CLOSED,1462183,2017-10-06,1016440059
86,CLOSED,1462328,2017-10-10,1016670016
59,ACTIVE,1462724,,1017080008
59,ACTIVE,1462686,,1017090024
1Z,ACTIVE,1462725,,1017080008
1Z,ACTIVE,1462687,,1017090024
1Z,ACTIVE,1462722,,1017080010
5H,CLOSED,1462685,2017-10-11,1017080008
5H,CLOSED,1462574,2017-10-11,1017090024
5H,CLOSED,1462684,2017-10-11,1017080010
91,ACTIVE,1462736,,1016670018
59,ACTIVE,1462721,,1017080010
59,CLOSED,1462686,2017-10-11,1017090024
1L,ACTIVE,1462799,,1016610044
91,CLOSED,1462736,2017-10-12,1016670018
05,CLOSED,1458645,2017-10-13,1016670016
59,CLOSED,1462724,2017-10-11,1017080008
59,CLOSED,1462721,2017-10-12,1017080010
5H,CLOSED,1462883,2017-10-13,1016660028
05,ACTIVE,1463002,,1018480031
65,ACTIVE,1463122,,1016300069
5H,ACTIVE,1463110,,1017080007
83,ACTIVE,1463178,,1016280050
09,ACTIVE,1463250,,1018060007
59,ACTIVE,1463242,,1017080007
1Z,ACTIVE,1463243,,1017080007
05,CLOSED,1455625,2017-10-18,1016810007
65,ACTIVE,1463122,2017-10-18,1016300069
59,CLOSED,1463242,2017-10-18,1017080007
65,CLOSED,1463122,2017-10-19,1016300069
30,CLOSED,1463399,2017-10-20,1016430070
5H,CLOSED,1463110,2017-10-20,1017080007
04,ACTIVE,1463479,,1016280050
86,ACTIVE,1463488,,1017080008
04,ACTIVE,1463512,,1016610017
04,ACTIVE,1463479,2017-10-22,1016280050
86,CLOSED,1463488,2017-10-22,1017080008
09,ACTIVE,1460753,2017-10-23,1016280020
05,CLOSED,1458681,2017-10-21,1018060007
1X,ACTIVE,1463633,,1016430070
09,ACTIVE,1461285,2017-10-23,1016280050
83,ACTIVE,1459681,2017-10-21,1016650038
09,ACTIVE,1461083,2017-10-23,1018060007
09,ACTIVE,1458232,2017-10-24,1016810007
1X,CLOSED,1463633,2017-10-24,1016430070
5G,ACTIVE,1463789,,1016660028
5H,CLOSED,1462685,2017-10-26,1017080008
5H,CLOSED,1462162,2017-10-26,1016660028
04,ACTIVE,1464041,,1016670018
04,CLOSED,1463479,2017-10-28,1016280050
04,CLOSED,1463512,2017-10-28,1016610017
04,CLOSED,1464041,2017-10-28,1016670018
5H,CLOSED,1462207,2017-10-30,1018060007
5G,ACTIVE,1463789,2017-11-01,1016660028
09,ACTIVE,1464463,,1016650034
5G,CLOSED,1463789,2017-11-03,1016660028
05,CLOSED,1462440,2017-11-04,1016280050
09,CLOSED,1458232,2017-11-04,1016810007
66,ACTIVE,1464888,,1016670016
05,ACTIVE,1465175,,1016300061
09,CLOSED,1463250,2017-11-09,1018060007
05,ACTIVE,1465230,,1016300063
59,CLOSED,1461795,2017-11-13,1016670016
58,ACTIVE,3627184,,3033260065
63,ACTIVE,1465390,,1018470068
09,CLOSED,1461083,2017-10-26,1018060007
09,CLOSED,1461285,2017-10-24,1016280050
05,CLOSED,1457807,2017-11-17,1016660028
05,ACTIVE,1461585,2017-11-17,1016280020
58,CLOSED,3627184,2017-11-18,3033260065
05,CLOSED,1465230,2017-11-17,1016300063
05,CLOSED,1465175,2017-11-17,1016300061
65,CLOSED,1456666,2017-11-20,1016670016
86,CLOSED,1466055,2017-11-21,1016660028
30,CLOSED,1466066,2017-11-21,1016660028
83,CLOSED,1463178,2017-11-20,1016280050
09,CLOSED,1460753,2017-11-20,1016280020
04,ACTIVE,1466237,,1016280050
30,ACTIVE,1466293,,1016660028
30,ACTIVE,1466292,,1016660028
04,ACTIVE,1466237,2017-11-26,1016280050
30,CLOSED,1466292,2017-11-27,1016660028
1X,ACTIVE,3628957,,3075670006
1L,CLOSED,1462799,2017-11-27,1016610044
83,CLOSED,1459681,2017-11-30,1016650038
05,CLOSED,1461585,2017-11-30,1016280020
09,CLOSED,1460117,2017-12-04,1016670016
1X,CLOSED,3628957,2017-12-04,3075670006
09,ACTIVE,1464463,2017-12-04,1016650034
09,CLOSED,1464463,2017-12-06,1016650034
05,CLOSED,1463002,2017-12-07,1018480031
04,CLOSED,1466237,2017-12-10,1016280050
94,ACTIVE,1467663,,1016610044
94,CLOSED,1467663,2017-12-11,1016610044
1L,CLOSED,1462799,2017-12-11,1016610044
53,ACTIVE,1409703,2017-12-18,1016280022
59,ACTIVE,1468135,,1016670016
59,CLOSED,1468135,2017-12-20,1016670016
6S,ACTIVE,1468475,,1018470068
86,ACTIVE,1468392,2017-12-21,1016670016
63,CLOSED,1465390,2017-12-21,1018470068
6S,ACTIVE,1468584,,1018470068
05,ACTIVE,1468650,,1016300061
05,ACTIVE,1468636,,1016300061
86,ACTIVE,1468643,,1016300061
86,CLOSED,1468392,2017-12-22,1016670016
5H,ACTIVE,1468628,,1016670016
86,CLOSED,1468643,2017-12-26,1016300061
5H,CLOSED,1468628,2017-12-27,1016670016
59,ACTIVE,1468731,,1016670016
59,CLOSED,1468731,2017-12-28,1016670016
05,CLOSED,1468650,2018-01-08,1016300061
58,ACTIVE,1469536,,1016280020
1Z,CLOSED,1451251,2017-01-11,1016300063
83,ACTIVE,1470073,,1016670009
53,CLOSED,1427742,2018-01-13,1016650034
58,ACTIVE,1469536,2018-01-17,1016280020
1Z,CLOSED,1451248,2018-01-18,1016300063
1Z,CLOSED,1451240,2018-01-18,1016300069
30,ACTIVE,1470271,,1016770044
59,ACTIVE,1470385,,1016670016
30,ACTIVE,1470271,2018-01-19,1016770044
14,ACTIVE,1470436,,1016770044
14,ACTIVE,1470436,2018-01-22,1016770044
58,CLOSED,1469536,2018-01-22,1016280020
53,CLOSED,1409703,2018-01-22,1016280022
59,CLOSED,1470385,2018-01-23,1016670016
6S,CLOSED,1468475,2018-01-25,1018470068
1Z,CLOSED,1451241,2018-01-25,1016300069
6S,CLOSED,1468584,2018-01-29,1018470068
04,ACTIVE,1471952,,1016870011
59,CLOSED,1470385,2018-01-23,1016670016
04,CLOSED,1471952,2018-02-14,1016870011
1Z,CLOSED,1450892,2018-02-15,1016300067
1Z,CLOSED,1451243,2018-02-15,1016300067
1Z,CLOSED,1451242,2018-02-15,1016300067
