inspectiondate,class
2017-09-28,C
2018-01-11,C
2017-11-09,B
2018-01-17,C
2017-11-20,C
2017-11-02,C
2017-10-26,B
2017-10-26,B
2017-10-26,B
2017-11-12,C
2017-11-12,C
2017-11-09,B
2017-11-12,C
2018-03-02,C
2015-10-01,I
1996-05-31,B
1999-09-25,A
1999-09-25,B
1999-09-25,B
2000-04-28,B
2000-04-28,B
2010-07-18,B
2010-07-18,B
2018-05-11,B
2018-05-11,B
2018-05-11,B
2018-05-11,B
2018-05-11,B
2018-05-11,B
2018-03-10,B
2014-09-27,B
2016-02-08,A
2017-06-16,B
2017-06-16,C
2017-06-16,A
2017-07-31,A
2012-05-04,B
2017-07-31,C
2017-07-31,C
2017-07-31,C
2017-07-31,A
2014-07-03,B
2018-02-27,B
2016-02-08,B
2016-02-08,B
2016-02-08,A
2016-02-12,B
2016-02-12,B
2016-02-12,B
2016-02-12,B
2016-02-12,C
2016-02-12,A
2017-06-16,B
2017-06-16,A
2017-06-16,B
2017-06-16,B
2017-06-16,C
2017-06-16,B
2017-06-16,C
2017-06-16,C
2017-06-16,C
2013-06-08,B
2013-06-08,A
2013-06-08,B
2013-06-08,A
2017-07-31,A
2017-07-31,A
2017-07-31,A
2017-07-31,A
2018-02-27,C
2018-02-27,C
2014-04-11,C
2014-04-29,A
2014-04-29,A
2014-05-11,B
2014-10-04,C
2014-10-04,B
2014-10-04,C
2014-10-04,C
2014-10-04,B
2014-10-04,B
2014-10-04,B
2014-10-04,C
2014-10-04,B
2014-10-23,C
2015-04-07,B
2015-04-07,C
2015-05-07,B
2015-05-07,B
2015-05-07,B
2015-05-07,B
2015-05-07,B
2015-05-07,B
2015-05-07,B
2015-05-24,A
2015-05-24,A
2015-05-24,B
2015-05-24,C
2015-05-24,C
2015-05-24,C
2015-05-24,C
2015-05-24,B
2015-05-24,B
2015-06-01,B
2015-06-01,B
2015-06-01,B
2015-06-01,A
2015-09-09,C
2015-09-19,B
2015-09-19,B
2015-09-19,B
2015-09-19,B
2015-09-22,B
2015-09-22,B
2015-09-22,B
2015-10-01,I
2015-11-25,B
2015-11-25,B
2015-11-25,A
2015-12-01,B
2015-12-01,B
2015-12-01,B
2015-12-01,B
2015-12-01,B
2015-12-01,B
2015-12-09,B
2015-12-09,B
2015-12-09,B
2015-12-09,A
2016-01-05,B
2016-03-03,B
2016-03-03,B
2016-09-27,B
2016-09-27,B
2016-09-27,B
2016-09-27,B
2016-09-27,C
2016-12-08,B
2016-12-09,B
2017-01-13,C
2017-03-09,B
2017-03-09,B
2017-03-09,B
2017-03-09,A
2017-03-09,A
2017-05-21,B
2017-05-21,A
2017-05-21,B
2017-05-21,A
2017-05-21,B
2017-05-21,B
2017-05-21,B
2017-05-21,B
2017-06-02,B
2017-06-02,A
2017-06-02,A
2017-06-02,A
2017-06-02,C
2017-06-07,B
2017-06-07,A
2017-06-07,B
2017-06-07,A
2017-06-07,A
2017-06-07,B
2017-06-07,A
2017-06-07,B
2017-06-07,B
2017-06-07,C
2014-02-05,A
2014-04-11,C
2014-04-14,C
2014-04-24,B
2014-04-29,B
2014-05-18,B
2014-06-10,C
2014-06-10,C
2017-08-11,B
2017-08-11,B
2017-08-11,B
2017-08-11,A
2017-08-11,B
2017-08-11,A
2017-08-11,B
2017-08-11,A
2017-08-11,B
2017-08-11,B
