word	time	filler
"163 EAST 103 STREET"	1016310030	0
"165 EAST 103 STREET"	1016310031	0
"167 EAST 103 STREET"	1016310032	0
"1868 3 AVENUE"	1016310033	0
"1870 3 AVENUE"	1016310034	0
"1872 3 AVENUE"	1016310035	0
"1876 3 AVENUE"	1016310037	0
"1878 3 AVENUE"	1016310038	0
"1880 3 AVENUE"	1016310039	0
"1882 3 AVENUE"	1016310040	0
"180 EAST 104 STREET"	1016310041	0
"178 EAST 104 STREET"	1016310043	0
"174 EAST 104 STREET"	1016310044	0
"172 EAST 104 STREET"	1016310045	0
"170 EAST 104 STREET"	1016310046	0
"168 EAST 104 STREET"	1016310047	0
"166 EAST 104 STREET"	1016310048	0
"164 EAST 104 STREET"	1016310049	0
"160 EAST 104 STREET"	1016310050	0
"1643 LEXINGTON AVENUE"	1016310051	0
"1642 LEXINGTON AVENUE"	1016310056	0
"130 EAST 104 STREET"	1016310060	0
"126 EAST 104 STREET"	1016310062	0
"122 EAST 104 STREET"	1016310063	0
"118 EAST 104 STREET"	1016310065	0
"114 EAST 104 STREET"	1016310066	0
"112 EAST 104 STREET"	1016310068	0
"102 EAST 104 STREET"	1016310072	0
"EAST 103 STREET"	1016310102	0
"125 EAST 103 STREET"	1016310108	0
"147 EAST 103 STREET"	1016310115	0
"169 EAST 103 STREET"	1016310133	0
"186 EAST 104 STREET"	1016310140	0
"1636 LEXINGTON AVENUE"	1016310156	0
"1635 LEXINGTON AVENUE"	1016317501	0
"1405 PARK AVENUE"	1016320001	0
"127 EAST 104 STREET"	1016320011	0
"1650 LEXINGTON AVENUE"	1016320015	0
"1655 LEXINGTON AVENUE"	1016320020	0
"1651 LEXINGTON AVENUE"	1016320022	0
"155 EAST 104 STREET"	1016320023	0
"157 EAST 104 STREET"	1016320024	0
"159 EAST 104 STREET"	1016320025	0
"161 EAST 104 STREET"	1016320026	0
"163 EAST 104 STREET"	1016320027	0
"175 EAST 104 STREET"	1016320029	0
"177 EAST 104 STREET"	1016320030	0
"181 EAST 104 STREET"	1016320032	0
"1884 3 AVENUE"	1016320033	0
"1886 3 AVENUE"	1016320034	0
"1888 3 AVENUE"	1016320035	0
"1892 3 AVENUE"	1016320037	0
"1896 3 AVENUE"	1016320040	0
"174 EAST 105 STREET"	1016320041	0
